ID,Name,Satellite Type,Characteristic Length [m],A/M [m^2/kg],Area [m^2],Mass [kg],Ejection Velocity [m/s],Velocity [m/s],Position [m],Semi-Major-Axis [m],Eccentricity,Inclination [rad],Longitude of the ascending node [rad],Argument of periapsis [rad],Mean Anomaly [rad]
24995,IRIDIUM 33-Collision-Fragment,DEBRIS,0.05645386051066412,0.13298609741737974,0.0017511483902844256,0.01316790570061176,[-8.60888667171207 1.4419535152273084 -58.234924241881316],[-224.94779127523464 419.6879839096305 7390.574507659264],[6508917.055099439 2974483.386663436 14901.218633767334],7048650.377871889,0.015413223712620525,1.506585012542524,0.4285143152986667,3.0159375138476614,3.2713131264227764
24996,IRIDIUM 33-Collision-Fragment,DEBRIS,0.09650503020332032,0.12944252849012663,0.00513017024193429,0.03963280308083289,[69.15494791652279 76.74896549172017 -97.60830635780242],[-147.18395668699978 494.9949958861234 7351.201125543343],[6508917.055099439 2974483.386663436 14901.218633767334],6981918.923576854,0.027644894559146604,1.501341604074535,0.42850334836221243,3.574049041757644,2.6995410471300283
24997,IRIDIUM 33-Collision-Fragment,DEBRIS,0.08369617774303054,0.42798617677171963,0.003856132787857389,0.009009947043019063,[143.01895007599816 -1079.8873116160696 -808.8755638962942],[-73.3199545275244 -661.6412812216664 6639.933868004851],[6508917.055099439 2974483.386663436 14901.218633767334],5961239.772764483,0.20618242284768845,1.6566168185227597,0.428827340554667,2.9522274433788938,3.377220547656701
24998,IRIDIUM 33-Collision-Fragment,DEBRIS,0.07084909030470231,0.04184552118994272,0.002761013847075682,0.06598110785962137,[73.70669533039246 10.368671891225597 -100.32900048846199],[-142.63220927313012 428.61470228562877 7348.480431412683],[6508917.055099439 2974483.386663436 14901.218633767334],6969391.195993203,0.02819058518146806,1.5097538655969187,0.4285209395420379,3.447091208788486,2.829640961801368
24999,IRIDIUM 33-Collision-Fragment,DEBRIS,0.12007752214756058,0.13225218305473826,0.007950640676391394,0.0601172736264072,[8.18923569816617 41.94620147626174 27.453457961481195],[-208.1496689053564 460.19223187066495 7476.262889862626],[6508917.055099439 2974483.386663436 14901.218633767334],7214798.8796216315,0.008428040251497876,1.5033418242499594,0.42850753286633375,6.00175728726334,0.2811668626855448
25000,IRIDIUM 33-Collision-Fragment,DEBRIS,0.05025462815680966,0.07567897308745572,0.0013869153785575183,0.018326297543107235,[-41.30490333887172 -45.20484124091486 -50.840782250832405],[-257.6438079423943 373.04118915348835 7397.968649650313],[6508917.055099439 2974483.386663436 14901.218633767334],7059654.862865755,0.016185916090934466,1.5105326728394477,0.42852256718071957,2.590787584456048,3.703043229074502
25001,IRIDIUM 33-Collision-Fragment,DEBRIS,0.05890908245653222,0.42120376905943857,0.00190716036788509,0.0045278805841263954,[-163.14299860865174 69.59167347203042 36.00523638250374],[-379.4819032121743 487.8377038664336 7484.814668283649],[6508917.055099439 2974483.386663436 14901.218633767334],7248231.76244077,0.02110894034572829,1.490618300934979,0.4284808942760064,0.9459645092680452,5.356300832326858
25002,IRIDIUM 33-Collision-Fragment,DEBRIS,0.09631865857226302,0.18279540036666908,0.005110327981022968,0.027956545792575564,[-2.5116974170343336 22.22343448585731 -87.36832857359106],[-218.8506020205569 440.4694648802605 7361.441103327554],[6508917.055099439 2974483.386663436 14901.218633767334],6997347.904394902,0.022727649604415166,1.5041175395128663,0.42850915537338347,3.1399195359878296,3.1454390876598106
25003,IRIDIUM 33-Collision-Fragment,DEBRIS,0.05086324487694101,0.09078345804517186,0.0014207922315304352,0.01565034271798151,[126.1054625185937 13.351079563322532 -139.19117870769102],[-90.23344208492887 431.5971099577257 7309.618253193455],[6508917.055099439 2974483.386663436 14901.218633767334],6899509.198685731,0.04027343822978212,1.5120283699563881,0.4285256926289793,3.5198327747335085,2.7503557445137865
25004,IRIDIUM 33-Collision-Fragment,DEBRIS,0.2069381722353654,0.023533985240134014,0.02367405815027028,1.0059519417857623,[-49.3094487902253 -1.0261462227369198 -5.151268573234031],[-265.64835339374787 417.21988417166625 7443.658163327911],[6508917.055099439 2974483.386663436 14901.218633767334],7150484.24326753,0.007112388758639532,1.5050795642765054,0.4285111673371616,1.6961339510249909,4.596199673562214
25005,IRIDIUM 33-Collision-Fragment,DEBRIS,0.18594895039029571,0.12323545629873787,0.019105583099343498,0.1550331671838762,[-58.63255591670936 14.009601173339608 62.64084205932587],[-274.9714605202319 432.2556315677428 7511.450273960471],[6508917.055099439 2974483.386663436 14901.218633767334],7285311.803743285,0.019134896457823673,1.5033448122941293,0.4285075391165331,0.39950287760463465,5.89311118810024
25006,IRIDIUM 33-Collision-Fragment,DEBRIS,0.05032327057306308,0.1216508637611592,0.0013907156569765307,0.011432024516545682,[-11.568552613711772 54.727181373914156 24.489191541319386],[-227.90745721723434 472.97321176831736 7473.298623442464],[6508917.055099439 2974483.386663436 14901.218633767334],7211695.799096494,0.007697674717470796,1.5006735815690648,0.42850195058683305,6.200245932752458,0.08437550236436156
25007,IRIDIUM 33-Collision-Fragment,DEBRIS,0.06748491909276183,0.08798473150881249,0.0025044595921997165,0.02846470687870283,[-7.522719373984001 147.8090364639909 110.21136628144305],[-223.86162397750655 566.0550668583941 7559.020798182588],[6508917.055099439 2974483.386663436 14901.218633767334],7396845.142965142,0.03310412297322046,1.4905492561957803,0.42848074957977794,6.089042887433091,0.18987833338255672
25008,IRIDIUM 33-Collision-Fragment,DEBRIS,0.10225127764773548,0.03330604794492789,0.005760863878381764,0.17296750091477225,[28.75760788060058 -4.200191861671411 -4.843541293764689],[-187.581296722922 414.0458385327318 7443.965890607381],[6508917.055099439 2974483.386663436 14901.218633767334],7146197.456881068,0.0026863917491895648,1.509808735362349,0.4285210542200757,4.153114972038141,2.1298806970645403
25009,IRIDIUM 33-Collision-Fragment,DEBRIS,0.07286701424607113,0.012312928358139855,0.0029209182047562213,0.237223682279062,[-2.714585853518928 1.6283309644312765 2.7866693458664016],[-219.0534904570415 419.87436135883445 7451.596101247012],[6508917.055099439 2974483.386663436 14901.218633767334],7163060.988354959,0.0015455799098926895,1.507414108396734,0.4285160487150556,0.9262788284800731,5.360225905334983
25010,IRIDIUM 33-Collision-Fragment,DEBRIS,0.08050381391131035,0.39437116677658074,0.003566926276092601,0.009044591939231036,[138.46915762365072 84.3254014925916 -154.349825873897],[-77.86974697987185 502.5714318869948 7294.459606027248],[6508917.055099439 2974483.386663436 14901.218633767334],6880791.797323764,0.04519634137211173,1.5037926690452699,0.42850847588608704,3.604914354796548,2.659817587615555
25011,IRIDIUM 33-Collision-Fragment,DEBRIS,0.28297122354596405,0.08701674087794417,0.04433184660266037,0.5094634222723113,[25.69683428403827 1.2928339995027143 -21.898234759684698],[-190.6420703194843 419.5388643939059 7426.91119714146],[6508917.055099439 2974483.386663436 14901.218633767334],7114579.708620423,0.006277326571101974,1.50882824564169,0.4285190048760013,3.5013075962199784,2.781760041838132
25012,IRIDIUM 33-Collision-Fragment,DEBRIS,0.07406807160041096,0.07731703418980862,0.003018234276712089,0.039037119159311094,[-129.42311080227418 -132.42694767763973 -112.97793769446264],[-345.7620154057968 285.81908271676343 7335.831494206683],[6508917.055099439 2974483.386663436 14901.218633767334],6946490.295413746,0.038922347809751213,1.5158271486413104,0.42853362821746704,2.48582640314334,3.8236224571433732
25013,IRIDIUM 33-Collision-Fragment,DEBRIS,0.054642952112455484,0.14450987347963748,0.0016403529632586476,0.01135114801335554,[-147.64754532218112 16.252351938536712 -72.52613323450707],[-363.9864499257037 434.4983823329399 7376.283298666638],[6508917.055099439 2974483.386663436 14901.218633767334],7034159.015301356,0.02520503287120721,1.4968489287341897,0.4284939452902593,2.351594104215983,3.9517832273592295
